,title,button_name,button_url
44,특기장학금,특기장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/talent/requirement/
45,특기장학금,특기장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/talent/advantage/
46,특기장학금,특기장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/talent/document/
47,보훈장학금,보훈장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/veteran/requirement/
48,보훈장학금,보훈장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/veteran/advantage/
49,보훈장학금,보훈장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/veteran/document/
50,계명복지장학금,계명복지장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/welfare/requirement/
51,계명복지장학금,계명복지장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/welfare/advantage/
52,계명복지장학금,계명복지장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/welfare/document/
53,봉사장학금,봉사장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/service/requirement/
54,봉사장학금,봉사장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/service/advantage/
55,교내근로장학금,교내근로장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/work/requirement/
56,교내근로장학금,교내근로장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/work/advantage/
57,교내근로장학금,교내근로장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/work/document/
58,채플장학금,채플장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/chapel/requirement/
59,채플장학금,채플장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/chapel/advantage/
60,국가고시장학금,국가고시장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/national_exam/requirement/
61,국가고시장학금,국가고시장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/national_exam/advantage/
62,국가고시장학금,국가고시장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/national_exam/document/
63,목사자녀장학금,목사자녀장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/pastor/requirement/
64,목사자녀장학금,목사자녀장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/pastor/advantage/
65,목사자녀장학금,목사자녀장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/pastor/document/
66,다자녀장학금,다자녀장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/many_children/requirement/
67,다자녀장학금,다자녀장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/many_children/advantage/
68,다자녀장학금,다자녀장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/many_children/document/
69,특별외국어성적장학금,특별외국어성적장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/requirement/
70,특별외국어성적장학금,특별외국어성적장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/advantage/
71,특별외국어성적장학금,특별외국어성적장학금 제출서류,http://127.0.0.1/scholarship/inside/enrolled/foreign_lang_score/document/
72,총장특별장학금,총장특별장학금 선발기준,http://127.0.0.1/scholarship/inside/enrolled/president/requirement/
73,총장특별장학금,총장특별장학금 장학혜택,http://127.0.0.1/scholarship/inside/enrolled/president/advantage/
